sample,rep_1,rep_2,Pass_coverage,hhsubid
103901003,4510.17560111026,9954.51951309233,Pass,103901
103901004,7498.83312711099,5727.37855733538,Pass,103901
103901005,7186.07139751864,10069.1357388891,Pass,103901
103901006,6564.25211517239,10012.2733839414,Pass,103901
103901008,7553.38039661572,10431.0848409859,Pass,103901
103901009,5107.87265491757,10119.6376283316,Pass,103901
103901010,6363.5616827743,7596.79196067284,Pass,103901
104001002,6551.83255860616,9893.1610875163,Pass,104001
104001003,1921.20268869344,5733.18533257533,Pass,104001
104001005,3365.84720596596,3680.17570143464,Pass,104001
104001007,1693.27843360198,2092.45600775842,Pass,104001
104002001,4862.81312911748,6998.37126709695,Pass,104002
104002003,7202.41467411297,9556.78135972979,Pass,104002
104002004,6004.89164966726,10562.3145169381,Pass,104002
104002005,5846.76570912617,10671.8269738822,Pass,104002
104002006,6588.88138313882,9485.34846002073,Pass,104002
104101002,4230.6485302478,8804.7500250811,Pass,104101
104101003,3271.47697555429,10337.9059626124,Pass,104101
104101004,1089.9666254222,2647.22676654516,Pass,104101
104102003,4317.91174798515,10365.6942112831,Pass,104102
104102004,3281.64150754105,11786.3264220981,Pass,104102
104102005,5062.77641039361,7516.88583085309,Pass,104102
104102006,5296.0795237936,7233.82112162659,Pass,104102
104102007,1753.18767347758,3978.09397050463,Pass,104102
104104001,7813.58395478714,13537.8704143397,Pass,104104
104201002,3828.91094539009,11221.1972711768,Pass,104201
104201003,5672.47580510317,8228.9452563288,Pass,104201
104201004,3866.51529946828,8512.4654716918,Pass,104201
104201005,5179.26020800589,7630.57405611477,Pass,104201
104201006,6019.80319700365,4794.65003511353,Pass,104201
104201007,6378.78640939036,4794.54278834899,Pass,104201
104201008,6194.62769621777,11401.4538675049,Pass,104201
104201009,4397.91465739224,4752.37089924088,Pass,104201
104201010,2949.94515600441,10160.5430893221,Pass,104201
104202001,6695.81202554928,7718.70942714778,Pass,104202
104202003,3843.62582349597,10091.9068320904,Pass,104202
104202004,2931.26254890814,9318.97632344581,Pass,104202
104202005,4054.8842925459,8583.42999030198,Pass,104202
104202006,11788.1392836839,11031.4324984115,Pass,104202
104202007,11409.7142092767,3664.2721131659,Pass,104202
104202008,4304.83112062335,2509.88723539444,Pass,104202
104202009,14554.8204193559,7969.21302210481,Pass,104202
104202010,13439.5070394275,3384.34929605725,Pass,104202
104401002,10139.9907032739,2169.25315185767,Pass,104401
104401003,10005.7415643915,5772.90492592716,Pass,104401
104501002,8909.87285556633,4038.77373507675,Pass,104501
104501004,11146.8344647694,5152.30899909708,Pass,104501
104501005,8121.65996722737,4824.57753402669,Pass,104501
104501006,2408.29732802729,2626.90746747818,Pass,104501
104701002,9564.71333979868,3466.10781526937,Pass,104701
104701004,9405.9409089389,1283.62946861519,Pass,104701
104701005,5729.15597097281,2152.7216667224,Pass,104701
104702004,2016.29508744942,2226.06193358526,Pass,104702
104702005,12420.8835233923,1887.65107179882,Pass,104702
104702006,9778.08975688058,2218.8435942882,Pass,104702
104702007,8168.23526067619,8535.67494900177,Pass,104702
104702008,6765.54379159282,1848.81911513895,Pass,104702
104702009,7683.55649934789,7032.61227970438,Pass,104702
104702010,4932.23011069123,5441.70946058924,Pass,104702
104703003,1792.7158813497,1528.43497307962,Pass,104703
104703005,7714.35471357389,6609.5163027121,Pass,104703
104703006,5803.35310838377,2765.62893355182,Pass,104703
104703007,6967.54308932214,6999.40828679397,Pass,104703
104703008,11921.0312677658,12205.0396950139,Pass,104703
104703009,7620.90315352975,9993.10667825971,Pass,104703
104901002,14045.7106644818,12166.2399424807,Pass,104901
104901003,7610.85085108518,6796.72236899308,Pass,104901
104901004,9128.22041266763,12658.3153529746,Pass,104901
104901005,6011.83135471357,4068.55158345317,Pass,104901
104901006,8521.02123532756,7423.93796609036,Pass,104901
104902003,9217.20877503929,4624.56733438117,Pass,104902
104902004,10781.9372972611,6047.90907266829,Pass,104902
104902005,8922.01782429857,21429.6855165034,Pass,104902
104902006,7166.64117312644,12280.5085442932,Pass,104902
105001003,10397.921680099,16821.8300839381,Pass,105001
105001004,9352.68401163763,4141.8214560412,Pass,105001
105001005,8962.51840952413,6011.44941979066,Pass,105001
105001006,10656.8841587801,12314.4684814233,Pass,105001
105001007,9127.02123532756,8729.40617998194,Pass,105001
105001008,8462.7846704344,1232.18713841421,Pass,105001
105001010,2188.27455439254,5863.52459619436,Pass,105001
105101003,8332.62107480855,1012.99401397853,Pass,105101
105101004,9509.71387486205,10181.7542721466,Pass,105101
105101005,8491.0963782898,3998.78868340969,Pass,105101
105101006,10572.2747550413,10350.4188208541,Pass,105101
105101007,10319.0519345885,11084.1112597398,Pass,105101
105101008,1863.95528876701,8817.5873992576,Pass,105101
105102001,9039.71865699094,11447.9128181119,Pass,105102
105102003,10284.4151422934,9627.83991572752,Pass,105102
105102004,5024.03661839949,2657.06494331672,Pass,105102
105102005,2253.28268066749,3760.4911881751,Pass,105102
105102006,6564.48727552419,10048.0342774972,Pass,105102
105102007,1666.30348125606,3303.99147242752,Pass,105102
105102009,3363.19566598669,9147.28933551817,Pass,105102
105103003,9265.43413704311,8846.46918369394,Pass,105103
105103004,9505.27482192422,2114.77620974484,Pass,105103
105103005,10216.7898204194,6683.49844497208,Pass,105103
